city,datetime,latitude,longitude,crime_category,hour,month,weekday
DC,2020-01-17 02:39:05,38.9003371408,-77.0239787547,property,2,1,4
DC,2020-01-14 18:41:00,38.915563531,-77.0063880126,violent,18,1,1
DC,2020-01-15 03:29:35,38.9215811022,-76.9937613603,property,3,1,2
DC,2020-01-16 04:44:27,38.9490993611,-77.0230030497,property,4,1,3
DC,2020-01-16 18:06:20,38.9041140694,-77.0027784547,property,18,1,3
DC,2020-01-16 18:59:24,38.9233702999,-77.0543386501,property,18,1,3
DC,2020-01-17 04:31:05,38.978093888,-77.0351879833,property,4,1,4
DC,2020-05-30 05:02:54,38.905636428,-77.0044732923,violent,5,5,5
DC,2020-01-17 12:42:30,38.8685625898,-76.967781371,property,12,1,4
DC,2020-01-17 19:46:13,38.9741841327,-77.0582087429,property,19,1,4
DC,2020-01-18 03:12:38,38.9599074542,-77.0852995778,property,3,1,5
DC,2020-01-17 23:49:27,38.8757238262,-76.9662108367,property,23,1,4
DC,2020-01-18 02:50:58,38.9290758204,-76.9907275535,property,2,1,5
DC,2020-01-18 09:56:17,38.9126022668,-77.0395832802,property,9,1,5
DC,2020-01-19 09:22:48,38.9099253533,-77.043617224,violent,9,1,6
DC,2020-01-20 01:22:01,38.8689113338,-76.9594845298,property,1,1,0
DC,2020-01-20 11:33:05,38.9181090073,-77.0307880913,property,11,1,0
DC,2020-01-21 04:43:03,38.901006259,-77.0457791014,property,4,1,1
DC,2020-01-21 18:58:15,38.9354966096,-77.0241751222,property,18,1,1
DC,2020-01-23 02:19:38,38.8798087686,-76.9867809044,property,2,1,3
DC,2020-01-23 00:18:22,38.914830273,-77.0296336169,violent,0,1,3
DC,2020-01-23 05:12:59,38.8851334424,-76.9973260165,property,5,1,3
DC,2020-01-23 06:11:50,38.9031364198,-77.0334217013,property,6,1,3
DC,2020-01-23 12:01:36,38.8616300815,-76.9894688962,property,12,1,3
DC,2020-01-23 20:36:30,38.9850137225,-77.0546742118,property,20,1,3
DC,2020-01-24 03:12:25,38.8251191681,-77.0061035353,violent,3,1,4
DC,2020-01-24 19:14:49,38.9344628803,-76.9919840333,property,19,1,4
DC,2020-05-30 06:51:19,38.9038508942,-76.9316687059,property,6,5,5
DC,2020-05-30 18:26:19,38.9007102601,-76.9224951785,violent,18,5,5
DC,2020-05-31 00:05:58,38.8966627253,-76.9814981159,property,0,5,6
DC,2020-05-31 13:28:40,38.8997180637,-76.9351887506,property,13,5,6
DC,2020-05-31 22:56:08,38.8929785204,-76.9329125151,property,22,5,6
DC,2020-06-01 07:37:25,38.880268837,-76.9949866228,property,7,6,0
DC,2020-06-02 23:13:01,38.9774667093,-77.0210618246,property,23,6,1
DC,2020-06-19 01:49:20,38.9667018479,-77.0211740331,property,1,6,4
DC,2020-06-03 05:48:03,38.94452248,-77.0262084122,property,5,6,2
DC,2020-06-03 20:55:43,38.9205357239,-76.952663139,property,20,6,2
DC,2020-06-04 13:32:54,38.8277858252,-76.9985028505,property,13,6,3
DC,2020-06-05 11:04:09,38.826614598,-76.9943685071,property,11,6,4
DC,2020-06-06 17:22:40,38.8332089036,-76.9975122396,property,17,6,5
DC,2020-06-07 06:40:02,38.9162729049,-77.0239725818,property,6,6,6
DC,2020-06-07 21:34:05,38.8557348206,-76.9685821131,violent,21,6,6
DC,2020-06-08 05:43:33,38.8474873221,-76.9995392115,violent,5,6,0
DC,2020-06-08 20:57:39,38.9397996129,-77.0357342796,property,20,6,0
DC,2020-06-09 13:44:03,38.9269837049,-77.0244374849,property,13,6,1
DC,2020-06-11 01:09:50,38.9503447491,-76.9980042141,property,1,6,3
DC,2020-06-11 22:13:18,38.9610160139,-77.0845509302,property,22,6,3
DC,2020-06-12 15:27:55,38.904233267,-77.0403049553,property,15,6,4
DC,2020-06-12 18:22:22,38.9553594152,-77.070030485,property,18,6,4
DC,2020-06-12 19:48:01,38.8835585262,-76.9228134736,property,19,6,4
DC,2020-06-13 16:39:51,38.9155673134,-77.0355261159,violent,16,6,5
DC,2020-06-14 04:23:19,38.897337944,-77.0209228894,violent,4,6,6
DC,2020-01-01 22:29:07,38.9699160917,-77.0290795479,violent,22,1,2
DC,2020-01-02 01:11:01,38.878065381,-76.9417544193,property,1,1,3
DC,2020-01-02 18:53:05,38.9317772038,-77.0185801957,property,18,1,3
DC,2020-01-02 20:38:46,38.9001312114,-77.048833517,property,20,1,3
DC,2020-03-22 00:22:39,38.8819610549,-76.9814904028,violent,0,3,6
DC,2020-03-24 19:21:08,38.8953668527,-76.9348814625,violent,19,3,1
DC,2020-03-24 23:00:51,38.9076427724,-77.0090530223,violent,23,3,1
DC,2020-05-11 06:32:06,38.9103120724,-76.9355250198,property,6,5,0
DC,2020-05-12 20:28:08,38.9318379598,-77.0297214187,property,20,5,1
DC,2020-05-13 15:04:24,38.8694743066,-76.9754669754,property,15,5,2
DC,2020-05-14 14:59:06,38.9338924835,-77.0533086384,property,14,5,3
DC,2020-05-14 22:25:28,38.930922715,-76.9935760119,property,22,5,3
DC,2020-05-15 16:03:01,38.8250832849,-77.0014510284,property,16,5,4
DC,2020-05-16 08:54:08,38.834586581,-76.9877452403,violent,8,5,5
DC,2020-05-16 17:05:32,38.8296415775,-77.0005758417,property,17,5,5
DC,2020-05-19 23:42:42,38.9064879894,-77.055801532,property,23,5,1
DC,2020-05-20 04:38:54,38.9191665571,-77.0105972566,property,4,5,2
DC,2020-05-20 21:38:23,38.9460435662,-77.0970493462,property,21,5,2
DC,2020-05-21 22:27:14,38.8865495403,-76.9383588427,property,22,5,3
DC,2020-05-22 23:31:55,38.8470148655,-76.9693692861,property,23,5,4
DC,2020-05-23 00:20:06,38.8319837398,-76.9969594562,property,0,5,5
DC,2020-05-27 11:53:22,38.9039670503,-76.9472094663,property,11,5,2
DC,2020-05-27 20:52:47,38.9340623633,-77.0724316449,property,20,5,2
DC,2020-05-28 00:06:42,38.899247597,-76.9784194504,violent,0,5,3
DC,2020-05-28 19:10:53,38.9323653921,-77.0428005444,property,19,5,3
DC,2020-05-29 19:03:19,38.9175578524,-77.0365072452,property,19,5,4
DC,2020-05-30 16:36:39,38.9067794081,-77.0669505846,property,16,5,5
DC,2020-05-30 17:28:27,38.8831904084,-76.9402749743,violent,17,5,5
DC,2020-01-02 22:15:54,38.9117150902,-77.0219186944,property,22,1,3
DC,2020-01-03 04:52:09,38.8911169135,-76.9385969585,property,4,1,4
DC,2020-01-04 22:01:38,38.9169919745,-77.0307876091,property,22,1,5
DC,2020-03-25 01:45:50,38.9186349143,-77.0121538903,property,1,3,2
DC,2020-03-26 13:03:08,38.9045580351,-76.9243356271,property,13,3,3
DC,2020-03-27 02:26:15,38.8701057408,-76.9798917301,violent,2,3,4
DC,2020-03-27 17:56:40,38.8827190288,-76.9932115389,property,17,3,4
DC,2020-03-28 18:44:06,38.9103860425,-77.0400893646,property,18,3,5
DC,2020-03-29 23:17:00,38.8954488436,-76.9561610779,property,23,3,6
DC,2020-03-31 04:07:04,38.8369369085,-76.9811450168,property,4,3,1
DC,2020-03-31 23:36:31,38.900195332,-76.9943626983,property,23,3,1
DC,2020-04-02 17:23:37,38.9054281338,-76.9833404936,property,17,4,3
DC,2020-04-02 21:07:37,38.8912789503,-76.9588609078,property,21,4,3
DC,2020-04-04 09:47:17,38.9198458716,-76.9528994141,property,9,4,5
DC,2020-04-06 17:38:27,38.891287376,-76.922297933,property,17,4,0
DC,2020-04-06 17:26:58,38.9140848879,-77.0184141599,property,17,4,0
DC,2020-04-06 17:56:04,38.9336967931,-76.9876128694,violent,17,4,0
DC,2020-04-07 04:43:08,38.9407143122,-76.9881537847,property,4,4,1
DC,2020-04-08 14:16:35,38.9072364357,-77.0288579946,property,14,4,2
DC,2020-04-08 20:20:23,38.9058425164,-77.0488143688,property,20,4,2
DC,2020-04-10 02:16:39,38.9257389919,-77.0310335651,property,2,4,4
DC,2020-04-10 19:50:46,38.8952282943,-77.0288646645,property,19,4,4
DC,2020-04-10 22:45:49,38.8966524619,-76.94765293,property,22,4,4
DC,2020-04-11 20:57:17,38.8881693465,-76.9542521879,property,20,4,5
DC,2020-02-20 16:48:07,38.9045699645,-77.0288569158,property,16,2,3
DC,2020-02-20 19:02:04,38.974837325,-77.0143330525,property,19,2,3
DC,2020-02-21 16:50:44,38.9051786519,-77.0620031271,property,16,2,4
DC,2020-02-23 18:15:36,38.9274787676,-77.09545564,property,18,2,6
DC,2020-02-23 23:56:22,38.9142116212,-76.9860365766,violent,23,2,6
DC,2020-02-24 02:09:34,38.9376042111,-77.0257675666,property,2,2,0
DC,2020-05-30 19:42:24,38.920324765,-77.031873007,property,19,5,5
DC,2020-05-31 11:51:25,38.9152289174,-77.0675004574,property,11,5,6
DC,2020-05-31 18:04:28,38.90508182,-77.0575874295,property,18,5,6
DC,2020-05-31 21:25:56,38.917002987,-77.0218972577,property,21,5,6
DC,2020-05-31 21:48:03,38.9096383502,-77.0400889444,property,21,5,6
DC,2020-06-01 03:33:13,38.9599074542,-77.0852995778,property,3,6,0
DC,2020-06-01 16:29:25,38.9008602147,-77.0209123942,property,16,6,0
DC,2020-06-16 08:56:49,38.8333523915,-76.9874575163,violent,8,6,1
DC,2020-06-17 00:57:09,38.9043052797,-77.0611722877,property,0,6,2
DC,2020-06-17 16:51:46,38.9051135903,-77.0656692995,violent,16,6,2
DC,2020-06-20 01:54:18,38.8890893192,-76.9372616373,violent,1,6,5
DC,2020-06-20 06:30:08,38.8920157791,-76.9953200775,property,6,6,5
DC,2020-06-20 18:04:18,38.9346315068,-77.0697679163,property,18,6,5
DC,2020-06-21 01:16:45,38.8596624732,-77.0220689674,property,1,6,6
DC,2020-06-24 02:43:54,38.9450610787,-77.033625924,property,2,6,2
DC,2020-06-24 05:28:21,38.9680788094,-77.0274286918,property,5,6,2
DC,2020-06-25 01:30:06,38.8932545426,-76.9274945156,property,1,6,3
DC,2020-06-26 00:20:36,38.9196187215,-77.0447057172,property,0,6,4
DC,2020-06-26 00:59:01,38.9160637538,-77.0560165786,property,0,6,4
DC,2020-06-26 08:44:42,38.9105972027,-77.0527723812,property,8,6,4
DC,2020-06-27 18:11:26,38.9295130123,-77.0327305535,property,18,6,5
DC,2020-06-29 18:57:48,38.8510247406,-76.9739871994,violent,18,6,0
DC,2020-07-01 02:07:56,38.8464569156,-76.9716388763,violent,2,7,2
DC,2020-07-02 21:00:22,38.9051786519,-77.0620031271,property,21,7,3
DC,2020-07-02 20:15:47,38.8649630218,-76.9876939343,property,20,7,3
DC,2020-07-03 16:14:23,38.8983449067,-76.9285268554,violent,16,7,4
DC,2020-01-06 19:47:50,38.8739983861,-77.0129299194,property,19,1,0
DC,2020-01-08 03:51:41,38.8981143061,-76.9926567353,property,3,1,2
DC,2020-01-10 05:30:23,38.9056407215,-77.0334920493,property,5,1,4
DC,2020-02-24 15:51:39,38.9050490585,-77.0682402098,property,15,2,0
DC,2020-02-24 17:33:05,38.8999689431,-76.9824656262,property,17,2,0
DC,2020-02-24 16:21:00,38.9302893155,-77.0264569086,property,16,2,0
DC,2020-02-25 10:15:07,38.8996082789,-76.9803906515,violent,10,2,1
DC,2020-02-26 04:13:39,38.9186032703,-77.0350317866,property,4,2,2
DC,2020-02-26 01:20:04,38.9099274291,-77.0436069637,property,1,2,2
DC,2020-02-26 06:46:29,38.8979127122,-76.970834525,property,6,2,2
DC,2020-02-26 19:46:44,38.8599992989,-76.9869113123,property,19,2,2
DC,2020-02-28 12:35:08,38.9008410607,-77.0265151565,property,12,2,4
DC,2020-02-27 06:38:10,38.9196589159,-77.0710447823,property,6,2,3
DC,2020-02-27 22:21:09,38.9185368227,-77.0449370465,property,22,2,3
DC,2020-02-29 04:59:50,38.9049039473,-77.0259863335,property,4,2,5
DC,2020-02-29 00:41:36,38.9202291552,-77.0142182939,property,0,2,5
DC,2020-03-01 00:03:49,38.9148229663,-77.0219196496,property,0,3,6
DC,2020-03-01 01:08:25,38.904523934,-77.0326153266,property,1,3,6
DC,2020-03-01 00:05:37,38.9072011062,-76.9301551503,property,0,3,6
DC,2020-03-01 14:36:27,38.9212513704,-77.0986415672,property,14,3,6
DC,2020-03-03 15:53:59,38.9743149625,-77.0133635693,property,15,3,1
DC,2020-03-03 20:09:47,38.9210696322,-76.9590628227,property,20,3,1
DC,2020-03-04 14:12:01,38.8317403196,-77.0073479559,property,14,3,2
DC,2020-03-04 15:47:22,38.9205045163,-77.0333606519,property,15,3,2
DC,2020-03-04 21:31:57,38.9298661403,-76.9745120223,property,21,3,2
DC,2020-03-07 05:14:15,38.899814108,-77.0265147748,property,5,3,5
DC,2020-01-13 03:01:44,38.9055086646,-76.9798817497,property,3,1,0
DC,2020-01-13 21:19:56,38.9534165771,-77.0014882513,violent,21,1,0
DC,2020-01-14 18:00:53,38.881079928,-76.9355399088,violent,18,1,1
