X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
397920,136943,00005370,2020/01/17 02:39:05+00,2020/01/11 02:48:51+00,2020/01/17 02:48:54+00,800 - 899 BLOCK OF 9TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397920,136943,38.9003371408,-77.0239787547,940444716,
399446,138633,20008199,2020/01/14 18:41:00+00,2020/01/14 15:16:16+00,2020/01/14 18:41:35+00,33 - 119 BLOCK OF T STREET NE,ASSAULT W/DANGEROUS WEAPON,OTHERS,DAY,5,5F,5,502,Cluster 21,008701 2,008701,Precinct 75,,399446,138633,38.915563531,-77.0063880126,940447377,
400541,139301,20008508,2020/01/15 03:29:35+00,2020/01/15 02:57:37+00,2020/01/15 03:10:51+00,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,THEFT/OTHER,OTHERS,EVENING,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,,400541,139301,38.9215811022,-76.9937613603,940447378,
398006,142356,20009137,2020/01/16 04:44:27+00,2020/01/16 01:39:40+00,2020/01/16 02:21:00+00,4800  - 4899 BLOCK OF ILLINOIS AVENUE NW,THEFT/OTHER,OTHERS,MIDNIGHT,4,4D,4,407,Cluster 18,002201 1,002201,Precinct 55,,398006,142356,38.9490993611,-77.0230030497,940447379,
399759,137362,20009506,2020/01/16 18:06:20+00,2020/01/16 17:34:09+00,,1100 - 1199 BLOCK OF CONGRESS STREET NE,THEFT F/AUTO,OTHERS,DAY,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,NOMA,399759,137362,38.9041140694,-77.0027784547,940447380,
395288,139501,20009523,2020/01/16 18:59:24+00,2020/01/16 17:32:19+00,2020/01/16 18:59:36+00,2400 - 2798 BLOCK OF CALVERT STREET NW,THEFT/OTHER,OTHERS,DAY,3,3C,2,204,Cluster 15,000501 3,000501,Precinct 26,,395288,139501,38.9233702999,-77.0543386501,940447381,
396951,145575,20009821,2020/01/17 04:31:05+00,2020/01/17 00:30:14+00,2020/01/17 01:17:44+00,7200  - 7399 BLOCK OF 15TH PLACE NW,THEFT F/AUTO,OTHERS,MIDNIGHT,4,4A,4,401,Cluster 16,001600 3,001600,Precinct 62,,396951,145575,38.978093888,-77.0351879833,940447382,
399612,137531,20079634,2020/05/30 05:02:54+00,2020/05/30 02:20:07+00,,100 - 199 BLOCK OF M STREET NE,ASSAULT W/DANGEROUS WEAPON,OTHERS,MIDNIGHT,6,6E,5,501,Cluster 25,010601 2,010601,Precinct 144,NOMA,399612,137531,38.905636428,-77.0044732923,940447408,
402796,133416,20009968,2020/01/17 12:42:30+00,2020/01/14 19:00:25+00,2020/01/15 12:00:24+00,1700 - 1899 BLOCK OF 28TH STREET SE,THEFT/OTHER,OTHERS,DAY,7,7B,6,607,Cluster 34,007604 1,007604,Precinct 111,,402796,133416,38.8685625898,-76.967781371,940447462,
394956,145142,20010149,2020/01/17 19:46:13+00,2020/01/17 13:00:46+00,2020/01/17 18:15:23+00,6300  - 6599 BLOCK OF 31ST STREET NW,THEFT F/AUTO,OTHERS,DAY,4,3/4G,2,201,Cluster 10,001500 4,001500,Precinct 51,,394956,145142,38.9741841327,-77.0582087429,940447463,
392607,143559,20010273,2020/01/18 03:12:38+00,2020/01/17 21:43:03+00,2020/01/17 22:29:05+00,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,EVENING,3,3E,2,202,Cluster 11,001100 2,001100,Precinct 32,,392607,143559,38.9599074542,-77.0852995778,940447464,
402932,134211,20010339,2020/01/17 23:49:27+00,2020/01/17 05:30:36+00,2020/01/17 12:15:43+00,2826 - 2899 BLOCK OF MINNESOTA AVENUE SE,THEFT F/AUTO,OTHERS,EVENING,7,7B,6,605,Cluster 34,007709 2,007709,Precinct 111,,402932,134211,38.8757238262,-76.9662108367,940447465,
400804,140133,20010443,2020/01/18 02:50:58+00,2020/01/18 01:52:30+00,,3100 - 3199 BLOCK OF 12TH STREET NE,THEFT F/AUTO,OTHERS,EVENING,5,5B,5,504,Cluster 22,009301 2,009301,Precinct 73,,400804,140133,38.9290758204,-76.9907275535,940447466,
396567,138305,20010625,2020/01/18 09:56:17+00,2020/01/18 04:45:16+00,2020/01/18 08:40:40+00,1700 - 1749 BLOCK OF R STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2B,3,301,Cluster 6,005302 3,005302,Precinct 15,,396567,138305,38.9126022668,-77.0395832802,940447467,
396217,138008,20011180,2020/01/19 09:22:48+00,2020/01/19 08:00:33+00,2020/01/19 09:22:59+00,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,ASSAULT W/DANGEROUS WEAPON,KNIFE,MIDNIGHT,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 14,GOLDEN TRIANGLE,396217,138008,38.9099253533,-77.043617224,940447468,
403516,133455,20011475,2020/01/20 01:22:01+00,2020/01/19 22:26:08+00,2020/01/19 23:45:35+00,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,THEFT/OTHER,OTHERS,EVENING,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,,403516,133455,38.8689113338,-76.9594845298,940447469,
