X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
401112,138391,19173428,2019/09/29 05:03:20+00,2019/09/29 04:20:22+00,,1900 - 1999 BLOCK OF KENDALL STREET NE,ASSAULT W/DANGEROUS WEAPON,KNIFE,MIDNIGHT,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,,401112,138391,38.9133829851,-76.987178244,939828739,
404450,132969,19070021,2019/04/25 03:15:42+00,2019/04/23 08:00:55+00,2019/04/23 09:00:48+00,3901 - 3998 BLOCK OF PENNSYLVANIA AVENUE SE,SEX ABUSE,OTHERS,MIDNIGHT,7,7B,6,605,Cluster 34,009902 2,009902,Precinct 110,,404450,132969,38.8645290167,-76.9487250354,939829257,
397701,138567,19071492,2019/04/27 06:16:05+00,2019/04/27 04:55:08+00,2019/04/27 06:16:13+00,1800 - 1899 BLOCK OF VERMONT AVENUE NW,ROBBERY,OTHERS,MIDNIGHT,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,,397701,138567,38.9149661487,-77.0265088773,939829258,
395814,138839,19137941,2019/08/06 01:06:46+00,2019/08/05 21:30:47+00,2019/08/05 21:40:43+00,2100 - 2199 BLOCK OF WYOMING AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,2,2D,2,208,Cluster 1,004100 2,004100,Precinct 13,,395814,138839,38.9174094526,-77.0482687976,939829301,
399757,139507,19185267,2019/10/16 22:28:31+00,2019/10/16 21:45:54+00,2019/10/16 22:00:57+00,200 - 301 BLOCK OF DOUGLAS STREET NE,THEFT F/AUTO,OTHERS,EVENING,5,5E,5,502,Cluster 21,009204 1,009204,Precinct 74,,399757,139507,38.9234369494,-77.0028022715,939829319,
396559,137255,19186330,2019/10/18 16:22:10+00,2019/10/18 15:34:06+00,2019/10/18 15:39:36+00,1000 - 1099 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,DAY,2,2B,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396559,137255,38.9031434735,-77.0396702609,939829320,
402808,132407,19188083,2019/10/21 09:21:54+00,2019/10/21 07:43:35+00,2019/10/21 07:47:42+00,2600 - 2799 BLOCK OF ALABAMA AVENUE SE,THEFT F/AUTO,OTHERS,MIDNIGHT,7,7B,6,606,Cluster 35,007604 3,007604,Precinct 113,,402808,132407,38.8594730617,-76.9676472142,939829321,
398273,137449,19188957,2019/10/22 18:10:06+00,2019/10/22 15:50:07+00,2019/10/22 16:15:55+00,1100 - 1199 BLOCK OF 6TH STREET NW,THEFT F/AUTO,OTHERS,DAY,2,6E,3,308,Cluster 8,004802 2,004802,Precinct 18,,398273,137449,38.9048961324,-77.0199105558,939829322,
400541,139301,19147608,2019/08/20 21:15:17+00,2019/08/20 19:19:56+00,,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,THEFT/OTHER,OTHERS,EVENING,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,,400541,139301,38.9215811022,-76.9937613603,939829333,
401479,131441,19148470,2019/08/22 02:13:54+00,2019/08/21 04:00:47+00,2019/08/22 02:14:01+00,1400 - 1530 BLOCK OF BRUCE STREET SE,THEFT/OTHER,OTHERS,EVENING,8,8E,7,704,Cluster 38,007404 2,007404,Precinct 117,,401479,131441,38.8507741592,-76.9829615603,939829334,
