Month,Karachi Area,Crm Cd Desc,Crime Count,Suspect_Age,Suspect_Gender,Occupation,Education_Level,Crime_Motive,Reference_Source
2022-01,Clifton,DOCUMENT FORGERY / STOLEN FELONY,1,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-01,Clifton,INDECENT EXPOSURE,1,20-40,Male,Varied,Matric,Psychological,"Police Behavioral Unit Report, Karachi 2022"
2022-01,Clifton,PICKPOCKET,1,15-25,Male,Street Vendor,Primary,Survival,"Dawn News Investigation, 2022"
2022-01,Clifton,ROBBERY,2,18-30,Male,Unemployed,Matric,Financial,FIA Crime Report 2023
2022-01,Clifton,THEFT OF IDENTITY,6,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Defence,BURGLARY,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Defence,DOCUMENT FORGERY / STOLEN FELONY,1,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-01,Defence,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Defence,THEFT OF IDENTITY,11,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Defence,THEFT PLAIN - PETTY ($950 & UNDER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Defence,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,BRANDISH WEAPON,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,BURGLARY,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,INTIMATE PARTNER - SIMPLE ASSAULT,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,ORAL COPULATION,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,STALKING,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,THEFT OF IDENTITY,7,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Gulistan-e-Johar,THEFT PLAIN - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulistan-e-Johar,VIOLATION OF RESTRAINING ORDER,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,BATTERY - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,BURGLARY FROM VEHICLE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,DOCUMENT FORGERY / STOLEN FELONY,1,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-01,Gulshan-e-Iqbal,INTIMATE PARTNER - AGGRAVATED ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,INTIMATE PARTNER - SIMPLE ASSAULT,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,ROBBERY,1,18-30,Male,Unemployed,Matric,Financial,FIA Crime Report 2023
2022-01,Gulshan-e-Iqbal,THEFT OF IDENTITY,3,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Gulshan-e-Iqbal,THEFT PLAIN - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Gulshan-e-Iqbal,VIOLATION OF RESTRAINING ORDER,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,BIKE - STOLEN,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,"BUNCO, ATTEMPT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,BURGLARY,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
