lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
41.64,-87.62,1,4,property,1.0,4.3446531758480495e-08,property,0.7834,True,0.0035,0.7834,0.2131,21.3,Chicago,medium
41.64,-87.62,3,4,property,0.5,0.562335165779739,property,0.7833,True,0.0035,0.7833,0.2132,21.3,Chicago,medium
41.64,-87.61,1,7,violent,0.42857142857142855,0.5982696097102534,property,0.7812,False,0.0036,0.7812,0.2152,21.5,Chicago,medium
41.64,-87.61,2,7,violent,0.14285714285714285,0.6829081257408294,property,0.7808,False,0.0036,0.7808,0.2156,21.6,Chicago,medium
41.64,-87.61,3,6,violent,0.3333333333333333,0.6365141893815645,property,0.7815,False,0.0036,0.7815,0.2149,21.5,Chicago,medium
41.64,-87.60000000000001,0,3,property,1.0,4.3446531758480495e-08,property,0.4995,True,0.0081,0.4995,0.4924,49.2,Chicago,uncertain
41.64,-87.60000000000001,3,3,property,1.0,4.3446531758480495e-08,property,0.6197,True,0.0061,0.6197,0.3742,37.4,Chicago,medium
41.65,-87.62,0,110,property,0.17272727272727273,0.8698730864664104,violent,0.5563,False,0.0084,0.4353,0.5563,55.6,Chicago,medium
41.65,-87.62,1,124,violent,0.0,1.023152596221583,property,0.7826,False,0.0034,0.7826,0.2139,21.4,Chicago,medium
41.65,-87.62,2,146,property,0.11643835616438356,0.9645116851743873,violent,0.502,False,0.0077,0.4903,0.502,50.2,Chicago,uncertain
41.65,-87.62,3,147,property,0.10884353741496598,0.845351012642879,violent,0.5638,False,0.0085,0.4276,0.5638,56.4,Chicago,medium
41.65,-87.61,0,117,property,0.07692307692307693,0.9225949591648204,violent,0.561,False,0.0085,0.4305,0.561,56.1,Chicago,medium
41.65,-87.61,1,124,violent,0.03225806451612903,0.9876542462240765,property,0.6125,False,0.0061,0.6125,0.3814,38.1,Chicago,medium
41.65,-87.61,2,184,violent,0.08695652173913043,0.9720275506313989,violent,0.5609,True,0.0085,0.4306,0.5609,56.1,Chicago,medium
41.65,-87.61,3,186,violent,0.026881720430107527,0.8763645493466269,violent,0.567,True,0.0086,0.4244,0.567,56.7,Chicago,medium
41.65,-87.60000000000001,0,95,property,0.1368421052631579,0.8749091215593661,violent,0.5619,False,0.0086,0.4295,0.5619,56.2,Chicago,medium
41.65,-87.60000000000001,1,152,violent,0.17105263157894737,0.9581307778823795,violent,0.5538,True,0.0085,0.4377,0.5538,55.4,Chicago,medium
41.65,-87.60000000000001,2,195,violent,0.14358974358974358,0.9983744672732505,violent,0.5472,True,0.0085,0.4442,0.5472,54.7,Chicago,uncertain
41.65,-87.60000000000001,3,168,violent,0.23809523809523808,0.9272477798082098,violent,0.5585,True,0.0086,0.4329,0.5585,55.9,Chicago,medium
41.65,-87.59,0,7,property,0.14285714285714285,1.0789922078775833,violent,0.5531,False,0.0085,0.4384,0.5531,55.3,Chicago,medium
41.65,-87.59,1,8,violent,0.375,0.9002560512685369,property,0.7814,False,0.0035,0.7814,0.215,21.5,Chicago,medium
41.65,-87.59,2,7,property,0.14285714285714285,1.0789922078775833,violent,0.5147,False,0.0082,0.4772,0.5147,51.5,Chicago,uncertain
41.65,-87.59,3,9,violent,0.1111111111111111,1.0608569471580214,violent,0.5168,True,0.008,0.4753,0.5168,51.7,Chicago,uncertain
41.65,-87.56,0,16,property,0.75,0.3767701826029325,violent,0.535,False,0.0083,0.4567,0.535,53.5,Chicago,uncertain
41.65,-87.56,1,4,property,1.0,4.3446531758480495e-08,property,0.7834,True,0.0035,0.7834,0.2131,21.3,Chicago,medium
41.65,-87.56,2,17,property,0.4117647058823529,0.6057975204897723,property,0.7834,True,0.0035,0.7834,0.2131,21.3,Chicago,medium
41.65,-87.56,3,12,property,0.8333333333333334,0.28683600449259056,property,0.7829,True,0.0035,0.7829,0.2137,21.4,Chicago,medium
41.65,-87.55,0,94,property,0.20212765957446807,0.8843256301572471,property,0.7834,True,0.0034,0.7834,0.2132,21.3,Chicago,medium
41.65,-87.55,1,100,property,0.17,0.9947690047638589,property,0.7836,True,0.0034,0.7836,0.213,21.3,Chicago,medium
41.65,-87.55,2,161,violent,0.049689440993788817,1.0567338853962944,property,0.7805,False,0.0035,0.7805,0.216,21.6,Chicago,medium
41.65,-87.55,3,157,violent,0.01910828025477707,0.9860310415665903,property,0.7832,False,0.0034,0.7832,0.2134,21.3,Chicago,medium
41.65,-87.54,0,98,property,0.30612244897959184,0.8301974187830223,property,0.7831,True,0.0034,0.7831,0.2135,21.3,Chicago,medium
41.65,-87.54,1,105,property,0.19047619047619047,1.03202517446212,property,0.7833,True,0.0035,0.7833,0.2132,21.3,Chicago,medium
41.65,-87.54,2,171,property,0.07602339181286549,1.0419163605142447,property,0.7745,True,0.0036,0.7745,0.2219,22.2,Chicago,medium
41.65,-87.54,3,158,property,0.1518987341772152,1.0001709984634777,property,0.7803,True,0.0035,0.7803,0.2162,21.6,Chicago,medium
41.65,-87.53,0,63,violent,0.15873015873015872,1.0432155427733667,property,0.5033,False,0.0077,0.5033,0.489,48.9,Chicago,uncertain
41.65,-87.53,1,80,property,0.025,1.0545294793830082,property,0.7597,True,0.0039,0.7597,0.2364,23.6,Chicago,medium
41.65,-87.53,2,87,violent,0.10344827586206896,1.052787230251689,violent,0.5269,True,0.0082,0.4649,0.5269,52.7,Chicago,uncertain
41.65,-87.53,3,104,violent,0.10576923076923077,0.8871013363271303,violent,0.549,True,0.0084,0.4426,0.549,54.9,Chicago,uncertain
41.660000000000004,-87.65,0,23,property,0.4782608695652174,0.7965853690105892,property,0.7784,True,0.0036,0.7784,0.218,21.8,Chicago,medium
41.660000000000004,-87.65,1,30,property,0.6,0.6828690186734608,property,0.7831,True,0.0035,0.7831,0.2134,21.3,Chicago,medium
41.660000000000004,-87.65,2,28,property,0.2857142857142857,1.0110373360577514,property,0.778,True,0.0036,0.778,0.2183,21.8,Chicago,medium
41.660000000000004,-87.65,3,33,violent,0.030303030303030304,0.9779398925081064,property,0.7597,False,0.0039,0.7597,0.2364,23.6,Chicago,medium
41.660000000000004,-87.64,0,184,property,0.3423913043478261,0.9144605665283239,property,0.7827,True,0.0034,0.7827,0.2138,21.4,Chicago,medium
41.660000000000004,-87.64,1,200,property,0.25,0.9841414803330099,property,0.7832,True,0.0034,0.7832,0.2134,21.3,Chicago,medium
41.660000000000004,-87.64,2,258,property,0.12015503875968993,0.996394516139548,property,0.72,True,0.0045,0.72,0.2756,27.6,Chicago,medium
41.660000000000004,-87.64,3,273,property,0.27472527472527475,0.9297745990129098,property,0.771,True,0.0036,0.771,0.2254,22.5,Chicago,medium
41.660000000000004,-87.63,0,78,property,0.23076923076923078,0.7670317662908688,property,0.7815,True,0.0035,0.7815,0.215,21.5,Chicago,medium
