lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
24.55,67.13,0,115,violent,0.9130434782608695,0.2380765547234578,violent,0.954,True,0.0066,0.0394,0.954,95.4,Karachi,high
24.8,66.99,0,188,violent,0.44148936170212766,0.8510360462188801,violent,0.9542,True,0.0067,0.0391,0.9542,95.4,Karachi,high
24.8,67.135,0,174,property,0.5287356321839081,0.6356361556347208,violent,0.9462,False,0.0066,0.0472,0.9462,94.6,Karachi,high
24.810000000000002,67.025,0,45,violent,0.4888888888888889,0.8227555098317418,violent,0.9548,True,0.0066,0.0386,0.9548,95.5,Karachi,high
24.810000000000002,67.03,0,28,violent,0.39285714285714285,0.9406911806575431,violent,0.9551,True,0.0066,0.0383,0.9551,95.5,Karachi,high
24.810000000000002,67.12,0,199,violent,0.6180904522613065,0.7376676312431727,violent,0.9526,True,0.0066,0.0409,0.9526,95.3,Karachi,high
24.815,67.005,0,56,violent,0.5535714285714286,0.7940736478071024,violent,0.9552,True,0.0066,0.0382,0.9552,95.5,Karachi,high
24.82,66.975,0,111,violent,0.44144144144144143,0.8678758432330829,violent,0.9553,True,0.0066,0.0381,0.9553,95.5,Karachi,high
24.82,66.99,0,81,violent,0.4567901234567901,0.8257386711742221,violent,0.9551,True,0.0066,0.0383,0.9551,95.5,Karachi,high
24.82,66.995,0,51,violent,0.43137254901960786,0.7734460118393497,violent,0.9553,True,0.0066,0.0382,0.9553,95.5,Karachi,high
24.82,67.005,0,51,violent,0.49019607843137253,0.77636078508351,violent,0.955,True,0.0066,0.0385,0.955,95.5,Karachi,high
24.82,67.03,0,43,violent,0.3953488372093023,0.7645314359683615,violent,0.9553,True,0.0066,0.0381,0.9553,95.5,Karachi,high
24.82,67.105,0,96,violent,0.6770833333333334,0.655102326274407,violent,0.9543,True,0.0065,0.0392,0.9543,95.4,Karachi,high
24.82,67.13,0,297,violent,0.5858585858585859,0.7547042923452184,violent,0.9524,True,0.0066,0.041,0.9524,95.2,Karachi,high
24.825,67.025,0,45,violent,0.5555555555555556,0.8005407842515027,violent,0.9557,True,0.0066,0.0377,0.9557,95.6,Karachi,high
24.825,67.035,0,38,violent,0.6052631578947368,0.7587412805356828,violent,0.9545,True,0.0066,0.0389,0.9545,95.5,Karachi,high
24.825,67.13,0,180,violent,0.5166666666666667,0.8113388453542552,violent,0.9536,True,0.0066,0.0398,0.9536,95.4,Karachi,high
24.825,67.135,0,93,violent,0.5376344086021505,0.655124769706597,violent,0.9553,True,0.0065,0.0382,0.9553,95.5,Karachi,high
24.825,67.16,0,87,violent,0.7011494252873564,0.5989347966403058,violent,0.9539,True,0.0066,0.0395,0.9539,95.4,Karachi,high
24.830000000000002,67.035,0,43,violent,0.5581395348837209,0.7816149076796735,violent,0.9567,True,0.0065,0.0368,0.9567,95.7,Karachi,high
24.835,67.145,0,191,violent,0.6230366492146597,0.7045202668232531,violent,0.954,True,0.0065,0.0394,0.954,95.4,Karachi,high
24.835,67.155,0,369,violent,0.8753387533875339,0.3381075964187853,violent,0.9543,True,0.0066,0.0391,0.9543,95.4,Karachi,high
24.835,67.175,0,116,violent,0.5775862068965517,0.7796764758621649,violent,0.9539,True,0.0066,0.0396,0.9539,95.4,Karachi,high
24.835,67.21000000000001,0,221,violent,0.8597285067873304,0.3496996892286734,violent,0.9538,True,0.0066,0.0396,0.9538,95.4,Karachi,high
24.835,67.235,0,90,violent,0.6555555555555556,0.6543594246549697,violent,0.9546,True,0.0066,0.0389,0.9546,95.5,Karachi,high
24.84,67.03,0,45,violent,0.6,0.7163779047744032,violent,0.9538,True,0.0066,0.0396,0.9538,95.4,Karachi,high
24.845,66.975,0,187,violent,0.5294117647058824,0.7777695420541451,violent,0.9544,True,0.0066,0.039,0.9544,95.4,Karachi,high
24.845,67.04,0,42,violent,0.6190476190476191,0.6330883103571556,violent,0.9559,True,0.0065,0.0376,0.9559,95.6,Karachi,high
24.845,67.08500000000001,0,210,property,0.6333333333333333,0.631147671687173,violent,0.9432,False,0.0065,0.0502,0.9432,94.3,Karachi,high
24.845,67.205,0,271,violent,0.8892988929889298,0.3016446128092233,violent,0.9532,True,0.0066,0.0403,0.9532,95.3,Karachi,high
24.85,67.01,0,135,violent,0.42962962962962964,0.9029742972910275,violent,0.9536,True,0.0066,0.0399,0.9536,95.4,Karachi,high
24.85,67.135,0,213,violent,0.6338028169014085,0.7159799890985621,violent,0.9536,True,0.0066,0.0398,0.9536,95.4,Karachi,high
24.85,67.185,0,375,violent,0.6693333333333333,0.6449881120801496,violent,0.9555,True,0.0066,0.0379,0.9555,95.5,Karachi,high
24.85,67.205,0,151,violent,0.6821192052980133,0.632271707961993,violent,0.9538,True,0.0066,0.0396,0.9538,95.4,Karachi,high
24.855,66.995,0,183,violent,0.5081967213114754,0.7791863665960739,violent,0.9542,True,0.0066,0.0392,0.9542,95.4,Karachi,high
24.855,67.01,0,245,violent,0.15918367346938775,0.8221151465524428,violent,0.9515,True,0.0067,0.0418,0.9515,95.1,Karachi,high
24.855,67.02,0,84,property,0.5,0.6548254690219399,violent,0.9444,False,0.0065,0.0491,0.9444,94.4,Karachi,high
24.855,67.19500000000001,0,191,violent,0.6858638743455497,0.647082318083505,violent,0.9531,True,0.0066,0.0403,0.9531,95.3,Karachi,high
24.86,66.985,0,243,violent,0.6419753086419753,0.6982350634535022,violent,0.9548,True,0.0066,0.0387,0.9548,95.5,Karachi,high
24.86,66.99,0,133,violent,0.7218045112781954,0.5965287612235679,violent,0.9542,True,0.0065,0.0392,0.9542,95.4,Karachi,high
24.86,67.0,0,445,violent,0.9101123595505618,0.26294260158321703,violent,0.9537,True,0.0066,0.0397,0.9537,95.4,Karachi,high
24.86,67.015,0,230,violent,0.8956521739130435,0.2849803782325788,violent,0.9533,True,0.0066,0.0401,0.9533,95.3,Karachi,high
24.86,67.03,0,136,violent,0.5661764705882353,0.797905246103182,violent,0.9552,True,0.0066,0.0382,0.9552,95.5,Karachi,high
24.86,67.055,0,59,violent,0.4406779661016949,0.8941107479212341,violent,0.9541,True,0.0065,0.0393,0.9541,95.4,Karachi,high
24.86,67.06,0,226,property,0.504424778761062,0.7223132106349769,violent,0.9432,False,0.0065,0.0503,0.9432,94.3,Karachi,high
24.865000000000002,66.98,0,211,violent,0.10426540284360189,0.8341815215765385,violent,0.9532,True,0.0067,0.0401,0.9532,95.3,Karachi,high
24.865000000000002,66.99,0,302,violent,0.5894039735099338,0.7534886898509612,violent,0.9554,True,0.0065,0.0381,0.9554,95.5,Karachi,high
24.865000000000002,67.055,0,187,property,0.49732620320855614,0.7044337410879292,violent,0.9389,False,0.0064,0.0546,0.9389,93.9,Karachi,high
24.87,67.0,0,166,violent,0.5783132530120482,0.7430257964965388,violent,0.9539,True,0.0065,0.0396,0.9539,95.4,Karachi,high
24.87,67.005,0,452,violent,0.9092920353982301,0.2676002305966322,violent,0.9545,True,0.0066,0.0389,0.9545,95.5,Karachi,high
24.87,67.06,0,127,violent,0.48031496062992124,0.8853710361051776,violent,0.9531,True,0.0067,0.0402,0.9531,95.3,Karachi,high
24.875,66.985,0,142,violent,0.7253521126760564,0.586122825300323,violent,0.9561,True,0.0065,0.0373,0.9561,95.6,Karachi,high
24.875,66.995,0,69,violent,0.9710144927536232,0.07575110665092988,violent,0.9548,True,0.0066,0.0387,0.9548,95.5,Karachi,high
24.875,67.0,0,275,violent,0.7054545454545454,0.6052088858208059,violent,0.9529,True,0.0065,0.0405,0.9529,95.3,Karachi,high
24.875,67.03,0,85,violent,0.4,0.9502705392332347,violent,0.9552,True,0.0066,0.0383,0.9552,95.5,Karachi,high
24.875,67.365,0,149,violent,0.3959731543624161,0.8292845817425849,violent,0.954,True,0.0066,0.0394,0.954,95.4,Karachi,high
24.88,67.01,0,76,violent,0.6710526315789473,0.5734304884497248,violent,0.9543,True,0.0066,0.0391,0.9543,95.4,Karachi,high
24.88,67.04,0,108,violent,0.5277777777777778,0.8411120549481095,violent,0.9546,True,0.0066,0.0388,0.9546,95.5,Karachi,high
24.88,67.145,0,594,violent,0.5336700336700336,0.8131638470198115,violent,0.9543,True,0.0066,0.039,0.9543,95.4,Karachi,high
24.88,67.18,0,49,violent,0.42857142857142855,0.7361694033132928,violent,0.9547,True,0.0065,0.0388,0.9547,95.5,Karachi,high
24.885,67.135,0,102,violent,0.4411764705882353,0.8463479219202733,violent,0.9567,True,0.0065,0.0368,0.9567,95.7,Karachi,high
24.885,67.16,0,122,violent,0.4672131147540984,0.8495650864225441,violent,0.9549,True,0.0066,0.0385,0.9549,95.5,Karachi,high
24.885,67.175,0,97,violent,0.6082474226804123,0.7491111639300636,violent,0.955,True,0.0066,0.0384,0.955,95.5,Karachi,high
24.885,67.19500000000001,0,94,violent,0.6702127659574468,0.6640108876538697,violent,0.9539,True,0.0066,0.0395,0.9539,95.4,Karachi,high
24.89,66.99,0,156,property,0.5833333333333334,0.6538819095133803,violent,0.9419,False,0.0065,0.0516,0.9419,94.2,Karachi,high
24.89,67.185,0,185,violent,0.8594594594594595,0.37042878686636715,violent,0.9541,True,0.0066,0.0393,0.9541,95.4,Karachi,high
24.895,67.035,0,42,violent,0.5476190476190477,0.7923248074399789,violent,0.9543,True,0.0065,0.0392,0.9543,95.4,Karachi,high
24.895,67.07000000000001,0,53,violent,0.5471698113207547,0.8217064902556372,violent,0.9551,True,0.0066,0.0383,0.9551,95.5,Karachi,high
