lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
33.71,-118.31,1,3,other,0.3333333333333333,0.6365141893815645,property,0.7629,False,0.1371,0.7629,0.1,10.0,LA,medium
33.71,-118.3,0,5,property,0.6,0.5004024447610512,property,0.7486,True,0.1466,0.7486,0.1048,10.5,LA,medium
33.71,-118.3,1,3,property,1.0,4.3446531758480495e-08,property,0.7485,True,0.1464,0.7485,0.1052,10.5,LA,medium
33.71,-118.3,2,14,property,0.14285714285714285,1.0789922078775833,property,0.7641,True,0.1371,0.7641,0.0987,9.9,LA,medium
33.71,-118.3,3,7,property,0.42857142857142855,0.5982696097102534,property,0.7493,True,0.1459,0.7493,0.1047,10.5,LA,medium
33.71,-118.29,0,15,violent,0.0,0.891867395317251,property,0.6785,False,0.1224,0.6785,0.1992,19.9,LA,medium
33.71,-118.29,1,27,property,0.07407407407407407,1.0405805589833306,property,0.6985,True,0.1268,0.6985,0.1747,17.5,LA,medium
33.71,-118.29,2,36,property,0.08333333333333333,1.0466541538387857,property,0.7487,True,0.1443,0.7487,0.1071,10.7,LA,medium
33.71,-118.29,3,40,violent,0.05,1.080527626604172,property,0.6944,False,0.1257,0.6944,0.1799,18.0,LA,medium
33.72,-118.32000000000001,0,4,property,0.0,0.6931472015900639,property,0.7633,True,0.1371,0.7633,0.0996,10.0,LA,medium
33.72,-118.32000000000001,2,13,property,0.38461538461538464,0.6172417908363657,property,0.7224,True,0.1308,0.7224,0.1468,14.7,LA,medium
33.72,-118.32000000000001,3,6,property,0.6666666666666666,0.4505612301390093,property,0.7429,True,0.1342,0.7429,0.1229,12.3,LA,medium
33.72,-118.31,0,4,violent,0.25,1.0397207708399179,property,0.7632,False,0.1371,0.7632,0.0997,10.0,LA,medium
33.72,-118.31,1,5,property,0.2,0.6730116880595106,property,0.7637,True,0.1371,0.7637,0.0992,9.9,LA,medium
33.72,-118.31,2,15,property,0.13333333333333333,0.8823109245150756,property,0.7633,True,0.1371,0.7633,0.0996,10.0,LA,medium
33.72,-118.31,3,12,violent,0.08333333333333333,1.077556327066801,property,0.764,False,0.1371,0.764,0.0988,9.9,LA,medium
33.72,-118.3,0,31,property,0.16129032258064516,1.0340787928128257,property,0.7395,True,0.1336,0.7395,0.1269,12.7,LA,medium
33.72,-118.3,1,38,other,0.3157894736842105,0.9591824302739718,property,0.7569,False,0.1393,0.7569,0.1038,10.4,LA,medium
33.72,-118.3,2,43,violent,0.09302325581395349,1.0901929030666875,property,0.745,False,0.1402,0.745,0.1148,11.5,LA,medium
33.72,-118.3,3,48,other,0.0625,1.094780226007948,property,0.7524,False,0.1366,0.7524,0.111,11.1,LA,medium
33.72,-118.29,0,37,property,0.13513513513513514,1.076752548142629,property,0.7045,True,0.1273,0.7045,0.1682,16.8,LA,medium
33.72,-118.29,1,37,violent,0.08108108108108109,1.0611532224746254,property,0.6804,False,0.1227,0.6804,0.197,19.7,LA,medium
33.72,-118.29,2,43,property,0.32558139534883723,0.9920335097792106,property,0.7638,True,0.1371,0.7638,0.0991,9.9,LA,medium
33.72,-118.29,3,55,violent,0.2,1.0568229012378292,property,0.7029,False,0.1269,0.7029,0.1702,17.0,LA,medium
33.72,-118.28,0,11,property,0.2727272727272727,0.9949236325717752,property,0.7638,True,0.1371,0.7638,0.099,9.9,LA,medium
33.72,-118.28,1,16,property,0.0625,0.8815322611881636,property,0.7641,True,0.1371,0.7641,0.0987,9.9,LA,medium
33.72,-118.28,2,15,property,0.2,0.6730116880595106,property,0.75,True,0.1447,0.75,0.1053,10.5,LA,medium
33.72,-118.28,3,10,property,0.6,0.5004024447610512,property,0.7514,True,0.1356,0.7514,0.113,11.3,LA,medium
33.72,-118.27,1,3,other,0.3333333333333333,0.6365141893815645,property,0.7487,False,0.1466,0.7487,0.1048,10.5,LA,medium
33.72,-118.27,3,4,other,0.25,1.0397207708399179,property,0.7524,False,0.1396,0.7524,0.108,10.8,LA,medium
33.730000000000004,-118.32000000000001,0,3,property,0.3333333333333333,0.6365141893815645,property,0.7632,True,0.1371,0.7632,0.0997,10.0,LA,medium
33.730000000000004,-118.32000000000001,1,6,property,0.6666666666666666,0.4505612301390093,property,0.7539,True,0.1411,0.7539,0.1049,10.5,LA,medium
33.730000000000004,-118.32000000000001,2,8,property,0.25,0.6615632592196847,property,0.7544,True,0.1406,0.7544,0.105,10.5,LA,medium
33.730000000000004,-118.32000000000001,3,6,other,0.5,0.8675632284814612,property,0.7563,False,0.1392,0.7563,0.1045,10.5,LA,medium
33.730000000000004,-118.31,0,8,property,0.75,0.3767701826029325,property,0.7556,True,0.1402,0.7556,0.1042,10.4,LA,medium
