lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
40.5,-74.25,0,17,property,0.058823529411764705,0.9718487712358767,other,0.8531,False,0.8531,0.1325,0.0144,1.4,NYC,high
40.5,-74.25,1,18,property,0.16666666666666666,1.0114042647073518,other,0.8506,False,0.8506,0.1353,0.0141,1.4,NYC,high
40.5,-74.25,2,14,other,0.42857142857142855,0.8921178708188162,other,0.8707,True,0.8707,0.1157,0.0136,1.4,NYC,high
40.5,-74.25,3,17,other,0.35294117647058826,0.8082699580001821,other,0.8682,True,0.8682,0.1182,0.0136,1.4,NYC,high
40.5,-74.24,0,28,property,0.35714285714285715,0.92751967671726,other,0.8639,False,0.8639,0.1224,0.0137,1.4,NYC,high
40.5,-74.24,1,32,other,0.03125,0.9387548872637546,other,0.8717,True,0.8717,0.1152,0.0132,1.3,NYC,high
40.5,-74.24,2,59,other,0.06779661016949153,0.9725138971829466,other,0.8671,True,0.8671,0.1188,0.0141,1.4,NYC,high
40.5,-74.24,3,51,other,0.47058823529411764,0.8938885362449964,other,0.8728,True,0.8728,0.1139,0.0133,1.3,NYC,high
40.5,-74.23,0,6,property,0.6666666666666666,0.4505612301390093,property,0.6993,True,0.2859,0.6993,0.0148,1.5,NYC,medium
40.5,-74.23,1,4,other,0.25,1.0397207708399179,other,0.8676,True,0.8676,0.1183,0.0141,1.4,NYC,high
40.5,-74.23,2,4,other,0.5,0.5623351657797391,property,0.6674,False,0.3134,0.6674,0.0192,1.9,NYC,medium
40.5,-74.23,3,10,other,0.3,0.8979457248567797,other,0.868,True,0.868,0.1178,0.0142,1.4,NYC,high
40.51,-74.25,0,92,other,0.391304347826087,0.952502083200353,other,0.8722,True,0.8722,0.1144,0.0134,1.3,NYC,high
40.51,-74.25,1,116,other,0.35344827586206895,0.8701079833976934,other,0.8714,True,0.8714,0.1151,0.0134,1.3,NYC,high
40.51,-74.25,2,189,other,0.4074074074074074,0.8465166285118737,other,0.8733,True,0.8733,0.1135,0.0132,1.3,NYC,high
40.51,-74.25,3,177,other,0.5141242937853108,0.821318328199357,other,0.873,True,0.873,0.1136,0.0133,1.3,NYC,high
40.51,-74.24,0,61,property,0.22950819672131148,0.9398529731664834,other,0.8711,False,0.8711,0.1152,0.0137,1.4,NYC,high
40.51,-74.24,1,80,other,0.2625,0.8909164057699006,other,0.8724,True,0.8724,0.1144,0.0132,1.3,NYC,high
40.51,-74.24,2,112,other,0.07142857142857142,1.0354817310237678,other,0.8719,True,0.8719,0.1147,0.0134,1.3,NYC,high
40.51,-74.24,3,80,other,0.15,1.0670938948757507,other,0.8736,True,0.8736,0.1131,0.0133,1.3,NYC,high
40.51,-74.23,0,20,property,0.15,0.8451132568429528,other,0.8711,False,0.8711,0.1155,0.0134,1.3,NYC,high
40.51,-74.23,1,32,other,0.15625,0.9257564180367264,other,0.8665,True,0.8665,0.1192,0.0142,1.4,NYC,high
40.51,-74.23,2,36,other,0.1388888888888889,0.9885683036977366,other,0.8698,True,0.8698,0.1164,0.0137,1.4,NYC,high
40.51,-74.23,3,32,other,0.25,1.0066670009137897,other,0.8656,True,0.8656,0.1198,0.0145,1.5,NYC,high
40.51,-74.22,0,4,property,0.5,0.5623351657797391,other,0.4983,False,0.4983,0.485,0.0167,1.7,NYC,uncertain
40.51,-74.22,1,13,other,0.6153846153846154,0.6870920273799715,other,0.7161,True,0.7161,0.197,0.087,8.7,NYC,medium
40.51,-74.22,2,18,other,0.1111111111111111,1.0608569471580214,other,0.8566,True,0.8566,0.1261,0.0173,1.7,NYC,high
40.51,-74.22,3,8,other,0.75,0.3767701826029325,other,0.8667,True,0.8667,0.1184,0.015,1.5,NYC,high
40.51,-74.21000000000001,0,7,other,0.2857142857142857,0.9556998911125343,other,0.8617,True,0.8617,0.1225,0.0158,1.6,NYC,high
40.51,-74.21000000000001,1,5,property,0.0,1.0549201679861442,other,0.8672,False,0.8672,0.119,0.0138,1.4,NYC,high
40.51,-74.21000000000001,2,8,property,0.125,0.9743147528693494,other,0.8708,False,0.8708,0.116,0.0133,1.3,NYC,high
40.51,-74.21000000000001,3,9,other,0.7777777777777778,0.34883211721746554,other,0.8505,True,0.8505,0.1344,0.015,1.5,NYC,high
40.51,-74.2,0,8,property,0.0,1.0821955300387671,other,0.7424,False,0.7424,0.2329,0.0247,2.5,NYC,medium
40.51,-74.2,1,10,other,0.4,0.6108643231672951,property,0.7482,False,0.238,0.7482,0.0138,1.4,NYC,medium
40.51,-74.2,2,20,other,0.4,0.8568409950394724,property,0.6913,False,0.2942,0.6913,0.0145,1.4,NYC,medium
