lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
39.88,-75.25,0,12,property,0.3333333333333333,0.9596147939120492,property,0.7304,True,0.2603,0.7304,0.0094,0.9,Philadelphia,medium
39.88,-75.25,2,37,property,0.7567567567567568,0.5556401539672464,property,0.9398,True,0.0513,0.9398,0.0089,0.9,Philadelphia,high
39.88,-75.25,3,7,property,0.42857142857142855,0.5982696097102534,property,0.9224,True,0.0685,0.9224,0.0091,0.9,Philadelphia,high
39.88,-75.24,0,13,property,0.38461538461538464,0.6172417908363657,property,0.9342,True,0.0566,0.9342,0.0092,0.9,Philadelphia,high
39.88,-75.24,2,130,property,0.9076923076923077,0.2738350477908407,property,0.9413,True,0.0499,0.9413,0.0088,0.9,Philadelphia,high
39.88,-75.24,3,68,property,0.8529411764705882,0.2626742365655651,property,0.9379,True,0.0531,0.9379,0.0089,0.9,Philadelphia,high
39.88,-75.23,0,331,property,0.27492447129909364,0.7113817536487441,property,0.9376,True,0.0535,0.9376,0.0089,0.9,Philadelphia,high
39.88,-75.23,1,201,other,0.06467661691542288,0.6910542085897733,property,0.9415,False,0.0497,0.9415,0.0088,0.9,Philadelphia,high
39.88,-75.23,2,589,property,0.633276740237691,0.5462668706944579,property,0.9413,True,0.0499,0.9413,0.0088,0.9,Philadelphia,high
39.88,-75.23,3,586,property,0.6484641638225256,0.5120827498379221,property,0.9389,True,0.0522,0.9389,0.0089,0.9,Philadelphia,high
39.89,-75.26,2,4,other,1.0,4.34465315364359e-08,property,0.9397,False,0.0516,0.9397,0.0087,0.9,Philadelphia,high
39.89,-75.25,0,48,other,0.041666666666666664,0.921273602511185,property,0.9274,False,0.0636,0.9274,0.009,0.9,Philadelphia,high
39.89,-75.25,1,11,other,0.09090909090909091,1.0361987848192837,property,0.9371,False,0.0539,0.9371,0.009,0.9,Philadelphia,high
39.89,-75.25,2,81,property,0.7777777777777778,0.4355343649873527,property,0.9427,True,0.0485,0.9427,0.0088,0.9,Philadelphia,high
39.89,-75.25,3,52,property,0.19230769230769232,0.8101502323878818,property,0.94,True,0.0512,0.94,0.0088,0.9,Philadelphia,high
39.89,-75.24,0,35,property,0.6571428571428571,0.4581442003266475,property,0.9384,True,0.0527,0.9384,0.009,0.9,Philadelphia,high
39.89,-75.24,1,32,property,0.625,0.7356219397587946,property,0.9282,True,0.062,0.9282,0.0098,1.0,Philadelphia,high
39.89,-75.24,2,23,property,0.391304347826087,0.8416853379716988,property,0.9435,True,0.0477,0.9435,0.0088,0.9,Philadelphia,high
39.89,-75.24,3,42,property,0.6428571428571429,0.6559757323365467,property,0.943,True,0.0482,0.943,0.0088,0.9,Philadelphia,high
39.89,-75.23,0,44,property,0.5454545454545454,0.6808699728832677,property,0.8811,True,0.1089,0.8811,0.01,1.0,Philadelphia,high
39.89,-75.23,1,12,property,0.3333333333333333,0.6365141893815645,property,0.837,True,0.1519,0.837,0.011,1.1,Philadelphia,high
39.89,-75.23,2,60,property,0.7666666666666667,0.4676524865100599,property,0.9379,True,0.0532,0.9379,0.0089,0.9,Philadelphia,high
39.89,-75.23,3,50,property,0.68,0.43966990068493883,property,0.9415,True,0.0497,0.9415,0.0089,0.9,Philadelphia,high
39.89,-75.22,3,3,property,0.3333333333333333,0.6365141893815645,property,0.8179,True,0.1711,0.8179,0.011,1.1,Philadelphia,high
39.89,-75.21000000000001,2,4,property,1.0,4.3446531758480495e-08,property,0.9374,True,0.0537,0.9374,0.0089,0.9,Philadelphia,high
39.89,-75.19,3,3,other,0.3333333333333333,0.6365141893815645,property,0.9265,False,0.0642,0.9265,0.0093,0.9,Philadelphia,high
39.89,-75.18,3,3,other,1.0,4.34465315364359e-08,property,0.7606,False,0.2297,0.7606,0.0097,1.0,Philadelphia,medium
39.89,-75.17,2,9,property,0.5555555555555556,0.5297062202512142,property,0.9354,True,0.0555,0.9354,0.009,0.9,Philadelphia,high
39.89,-75.17,3,3,property,1.0,4.3446531758480495e-08,property,0.9312,True,0.0596,0.9312,0.0091,0.9,Philadelphia,high
39.9,-75.25,0,78,property,0.08974358974358974,0.9662357676553845,property,0.8818,True,0.1092,0.8818,0.009,0.9,Philadelphia,high
39.9,-75.25,1,43,property,0.37209302325581395,0.8212828378245847,property,0.9391,True,0.052,0.9391,0.0089,0.9,Philadelphia,high
39.9,-75.25,2,173,property,0.31213872832369943,0.8734651762397068,property,0.9438,True,0.0474,0.9438,0.0088,0.9,Philadelphia,high
39.9,-75.25,3,125,property,0.416,0.9073672066529096,property,0.9411,True,0.0501,0.9411,0.0088,0.9,Philadelphia,high
39.9,-75.24,0,98,property,0.35714285714285715,0.8304717124362917,property,0.9382,True,0.0529,0.9382,0.0089,0.9,Philadelphia,high
39.9,-75.24,1,27,property,0.4074074074074074,0.607693444986529,property,0.9342,True,0.057,0.9342,0.0088,0.9,Philadelphia,high
39.9,-75.24,2,310,property,0.6967741935483871,0.5009847982152917,property,0.9441,True,0.0472,0.9441,0.0087,0.9,Philadelphia,high
39.9,-75.24,3,284,property,0.704225352112676,0.5757248776454027,property,0.9441,True,0.0472,0.9441,0.0087,0.9,Philadelphia,high
39.9,-75.23,0,11,other,0.2727272727272727,0.6554817949691769,property,0.9152,False,0.0753,0.9152,0.0095,0.9,Philadelphia,high
39.9,-75.23,1,4,property,1.0,4.3446531758480495e-08,property,0.9101,True,0.08,0.9101,0.0098,1.0,Philadelphia,high
39.9,-75.23,2,54,other,0.18518518518518517,0.807967955965176,property,0.9428,False,0.0484,0.9428,0.0088,0.9,Philadelphia,high
39.9,-75.23,3,47,property,0.06382978723404255,0.9229946254987857,property,0.9406,True,0.0506,0.9406,0.0088,0.9,Philadelphia,high
39.9,-75.2,0,4,property,0.0,0.6931472015900639,property,0.8526,True,0.1357,0.8526,0.0117,1.2,Philadelphia,high
39.9,-75.2,2,6,property,1.0,4.3446531758480495e-08,property,0.9076,True,0.0796,0.9076,0.0128,1.3,Philadelphia,high
39.9,-75.2,3,3,property,1.0,4.3446531758480495e-08,property,0.917,True,0.0681,0.917,0.0149,1.5,Philadelphia,high
39.9,-75.19,0,8,property,0.0,0.6931472015900639,property,0.9158,True,0.0734,0.9158,0.0108,1.1,Philadelphia,high
39.9,-75.19,1,6,violent,0.0,1.0986122886681096,property,0.8075,False,0.1814,0.8075,0.0111,1.1,Philadelphia,high
39.9,-75.19,2,12,property,0.6666666666666666,0.4505612301390093,property,0.9392,True,0.0519,0.9392,0.0089,0.9,Philadelphia,high
39.9,-75.19,3,21,property,0.047619047619047616,0.9403716526240742,property,0.9376,True,0.0535,0.9376,0.0089,0.9,Philadelphia,high
39.9,-75.18,2,4,property,0.0,0.6931472015900639,property,0.9339,True,0.0569,0.9339,0.0092,0.9,Philadelphia,high
39.9,-75.18,3,3,other,1.0,4.34465315364359e-08,property,0.7885,False,0.2015,0.7885,0.01,1.0,Philadelphia,medium
39.9,-75.17,0,175,other,0.3142857142857143,0.9123195024433595,property,0.7105,False,0.2804,0.7105,0.0091,0.9,Philadelphia,medium
39.9,-75.17,1,12,property,0.3333333333333333,0.6365141893815645,property,0.9306,True,0.06,0.9306,0.0095,0.9,Philadelphia,high
39.9,-75.17,2,58,property,0.08620689655172414,0.9229936905441962,property,0.9393,True,0.0517,0.9393,0.0089,0.9,Philadelphia,high
39.9,-75.17,3,99,property,0.0707070707070707,0.9476455654033189,property,0.8487,True,0.1422,0.8487,0.0091,0.9,Philadelphia,high
39.9,-75.16,0,15,property,0.4666666666666667,0.8608513906312316,property,0.7584,True,0.2321,0.7584,0.0095,1.0,Philadelphia,medium
39.9,-75.16,1,13,property,0.38461538461538464,0.6172417908363657,property,0.746,True,0.2445,0.746,0.0095,0.9,Philadelphia,medium
39.9,-75.16,2,26,property,0.5384615384615384,0.5402041635719226,property,0.9222,True,0.0686,0.9222,0.0092,0.9,Philadelphia,high
39.9,-75.16,3,5,property,0.6,0.5004024447610513,property,0.8997,True,0.0904,0.8997,0.0098,1.0,Philadelphia,high
39.9,-75.15,0,4,property,1.0,4.3446531758480495e-08,property,0.9033,True,0.0827,0.9033,0.014,1.4,Philadelphia,high
39.9,-75.15,1,7,property,1.0,4.3446531758480495e-08,property,0.865,True,0.1225,0.865,0.0125,1.3,Philadelphia,high
39.9,-75.15,2,5,property,0.2,0.6730116880595106,property,0.9372,True,0.0538,0.9372,0.009,0.9,Philadelphia,high
39.9,-75.14,2,4,property,1.0,4.3446531758480495e-08,property,0.9004,True,0.0897,0.9004,0.01,1.0,Philadelphia,high
39.910000000000004,-75.25,0,52,property,0.11538461538461539,0.8225715143524168,property,0.8547,True,0.1359,0.8547,0.0094,0.9,Philadelphia,high
39.910000000000004,-75.25,1,12,property,0.3333333333333333,0.6365141893815645,property,0.9245,True,0.0657,0.9245,0.0099,1.0,Philadelphia,high
39.910000000000004,-75.25,2,61,property,0.4426229508196721,0.7095735544720068,property,0.9413,True,0.0499,0.9413,0.0088,0.9,Philadelphia,high
39.910000000000004,-75.25,3,44,property,0.2727272727272727,0.6554817949691769,property,0.9355,True,0.0556,0.9355,0.0088,0.9,Philadelphia,high
39.910000000000004,-75.24,0,164,property,0.21951219512195122,0.9915272596507354,property,0.7285,True,0.2626,0.7285,0.0089,0.9,Philadelphia,medium
39.910000000000004,-75.24,1,147,property,0.19727891156462585,0.9576827754968793,property,0.8531,True,0.1378,0.8531,0.0091,0.9,Philadelphia,high
39.910000000000004,-75.24,2,385,property,0.35584415584415585,0.8890548892030261,property,0.945,True,0.0463,0.945,0.0087,0.9,Philadelphia,high
39.910000000000004,-75.24,3,341,property,0.3489736070381232,0.8614997093121841,property,0.9291,True,0.0621,0.9291,0.0088,0.9,Philadelphia,high
39.910000000000004,-75.23,0,68,property,0.2647058823529412,0.8914390440906842,property,0.791,True,0.1998,0.791,0.0092,0.9,Philadelphia,medium
39.910000000000004,-75.23,1,49,property,0.4897959183673469,0.7467209711939758,property,0.9358,True,0.0551,0.9358,0.0091,0.9,Philadelphia,high
