lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
53.54,-1.85,1,5,other,1.0,4.34465315364359e-08,violent,0.7869,False,0.077,0.1361,0.7869,78.7,West Yorkshire,medium
53.54,-1.85,2,4,other,0.5,0.5623351657797391,property,0.4822,False,0.0803,0.4822,0.4375,43.7,West Yorkshire,uncertain
53.54,-1.85,3,3,other,1.0,4.34465315364359e-08,violent,0.7869,False,0.077,0.1361,0.7869,78.7,West Yorkshire,medium
53.550000000000004,-1.78,0,3,violent,0.3333333333333333,0.6365141893815645,property,0.4842,False,0.0797,0.4842,0.436,43.6,West Yorkshire,uncertain
53.550000000000004,-1.78,1,3,violent,0.0,1.0986122886681096,violent,0.7827,True,0.0789,0.1383,0.7827,78.3,West Yorkshire,medium
53.550000000000004,-1.76,3,3,violent,1.0,4.3446531758480495e-08,violent,0.7819,True,0.0789,0.1392,0.7819,78.2,West Yorkshire,medium
53.56,-1.82,0,4,violent,0.25,1.0397207708399179,violent,0.7893,True,0.0766,0.1341,0.7893,78.9,West Yorkshire,medium
53.56,-1.82,1,8,violent,0.5,0.5623351657797391,violent,0.787,True,0.0771,0.1359,0.787,78.7,West Yorkshire,medium
53.56,-1.82,2,5,property,0.0,1.0549201679861442,violent,0.7834,False,0.0787,0.1379,0.7834,78.3,West Yorkshire,medium
53.56,-1.82,3,3,violent,0.3333333333333333,0.6365141893815645,violent,0.7746,True,0.0818,0.1436,0.7746,77.5,West Yorkshire,medium
53.56,-1.81,0,3,violent,0.0,1.0986122886681096,violent,0.7891,True,0.0767,0.1343,0.7891,78.9,West Yorkshire,medium
53.56,-1.81,1,4,violent,0.5,0.562335165779739,violent,0.6855,True,0.1497,0.1648,0.6855,68.5,West Yorkshire,medium
53.56,-1.81,2,3,violent,0.0,1.0986122886681096,violent,0.7845,True,0.0783,0.1372,0.7845,78.5,West Yorkshire,medium
53.56,-1.81,3,3,property,0.3333333333333333,0.6365141893815645,violent,0.7893,False,0.0766,0.1341,0.7893,78.9,West Yorkshire,medium
53.56,-1.79,1,3,other,1.0,4.34465315364359e-08,property,0.4829,False,0.0798,0.4829,0.4373,43.7,West Yorkshire,uncertain
53.56,-1.78,0,4,property,0.25,1.0397207708399179,violent,0.4728,False,0.084,0.4432,0.4728,47.3,West Yorkshire,uncertain
53.56,-1.77,0,12,violent,0.5,0.8675632284814613,violent,0.7825,True,0.079,0.1385,0.7825,78.3,West Yorkshire,medium
53.56,-1.77,1,7,violent,0.42857142857142855,0.5982696097102534,violent,0.7889,True,0.0768,0.1344,0.7889,78.9,West Yorkshire,medium
53.56,-1.77,2,21,violent,0.23809523809523808,1.012494711026758,violent,0.7887,True,0.0768,0.1345,0.7887,78.9,West Yorkshire,medium
53.56,-1.77,3,15,violent,0.4,0.9502705392332347,violent,0.7807,True,0.0792,0.1401,0.7807,78.1,West Yorkshire,medium
53.56,-1.76,0,6,property,0.16666666666666666,1.0114042647073518,violent,0.7324,False,0.0831,0.1844,0.7324,73.2,West Yorkshire,medium
53.56,-1.76,1,3,violent,0.3333333333333333,0.6365141893815645,violent,0.7828,True,0.0789,0.1383,0.7828,78.3,West Yorkshire,medium
53.56,-1.76,2,4,violent,0.5,0.562335165779739,violent,0.7881,True,0.077,0.1349,0.7881,78.8,West Yorkshire,medium
53.56,-1.76,3,4,violent,0.5,0.562335165779739,violent,0.783,True,0.0788,0.1382,0.783,78.3,West Yorkshire,medium
53.56,-1.75,0,3,violent,0.3333333333333333,0.6365141893815645,violent,0.5017,True,0.3374,0.1609,0.5017,50.2,West Yorkshire,uncertain
53.56,-1.6600000000000001,2,3,violent,0.0,1.0986122886681096,property,0.4831,False,0.0796,0.4831,0.4373,43.7,West Yorkshire,uncertain
53.56,-1.6600000000000001,3,3,violent,0.3333333333333333,0.6365141893815645,property,0.4842,False,0.0797,0.4842,0.436,43.6,West Yorkshire,uncertain
53.57,-1.86,0,4,violent,0.0,0.6931472015900639,violent,0.7825,True,0.0786,0.1389,0.7825,78.2,West Yorkshire,medium
53.57,-1.81,0,6,violent,0.6666666666666666,0.4505612301390093,violent,0.784,True,0.0785,0.1375,0.784,78.4,West Yorkshire,medium
53.57,-1.81,2,7,violent,0.0,1.0042424730540764,violent,0.7884,True,0.0769,0.1347,0.7884,78.8,West Yorkshire,medium
