Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.4917,0.8046,0.4904,1.0,-
LightGBM (no threshold),0.4764,0.8008,0.4618,1.0,-
XGBoost (no threshold),0.4764,0.8013,0.463,1.0,-
RandomForest (no threshold),0.4749,0.7988,0.4596,1.0,-
CatBoost raw + t=0.4,0.3934,0.763,0.2983,0.984,0.4
CatBoost Platt + t=0.55,0.5028,0.8176,0.4497,0.943,0.55
CatBoost Iso + t=0.75,0.5228,0.8567,0.4706,0.8,0.75
LightGBM Platt + t=0.8,0.4798,0.813,0.4667,0.964,0.8
XGBoost raw + t=0.85,0.4865,0.8188,0.469,0.945,0.85
RandomForest + t=0.95,0.4877,0.8266,0.471,0.922,0.95
CatBoost Platt + class-threshold,0.48,0.7956,0.4493,1.0,per-class
Two-Stage (dom_gap>0.3),0.6421,0.9263,0.3493,0.457,>0.3
