Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.5311,0.938,0.5358,1.0,-
LightGBM (no threshold),0.5142,0.9346,0.5117,1.0,-
XGBoost (no threshold),0.0,0.0,0.0,1.0,-
RandomForest (no threshold),0.0,0.0,0.0,1.0,-
CatBoost raw + t=0.7,0.3333,0.9826,0.0265,0.272,0.7
CatBoost Platt + t=0.3,0.4826,0.9317,0.4912,1.0,0.3
CatBoost Iso + t=0.3,0.4826,0.9317,0.4912,1.0,0.3
LightGBM Platt + t=0.3,0.4826,0.9317,0.4912,1.0,0.3
CatBoost Platt + class-threshold,0.4826,0.9317,0.4912,1.0,per-class
Two-Stage (dom_gap>0.3),0.4893,0.9578,0.4946,0.888,>0.3
