Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.496,0.6295,0.486,1.0,-
LightGBM (no threshold),0.5027,0.6229,0.4608,1.0,-
XGBoost (no threshold),0.5,0.6213,0.4592,1.0,-
RandomForest (no threshold),0.4975,0.6185,0.4532,1.0,-
CatBoost raw + t=0.4,0.4036,0.494,0.2686,0.746,0.4
CatBoost Platt + t=0.75,0.2491,0.5586,0.2851,0.736,0.75
CatBoost Iso + t=0.75,0.2463,0.5462,0.2833,0.712,0.75
LightGBM Platt + t=0.75,0.2469,0.5484,0.2836,0.776,0.75
XGBoost raw + t=0.7,0.5234,0.6557,0.4779,0.786,0.7
RandomForest + t=0.95,0.5311,0.6585,0.4601,0.783,0.95
Two-Stage (dom_gap>0.3),0.2566,0.5925,0.29,0.242,>0.3
