Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.6136,0.7137,0.6003,1.0,-
LightGBM (no threshold),0.6703,0.7153,0.5851,1.0,-
XGBoost (no threshold),0.7012,0.7199,0.596,1.0,-
RandomForest (no threshold),0.7214,0.7183,0.5785,1.0,-
CatBoost raw + t=0.65,0.789,0.7795,0.6906,0.64,0.65
CatBoost Platt + t=0.45,0.753,0.7235,0.5788,0.997,0.45
CatBoost Iso + t=0.75,0.8784,0.7998,0.5104,0.631,0.75
LightGBM Platt + t=0.55,0.7255,0.7202,0.559,0.99,0.55
XGBoost raw + t=0.8,0.7231,0.7493,0.6015,0.859,0.8
RandomForest + t=0.9,0.8356,0.7529,0.5309,0.865,0.9
CatBoost Platt + class-threshold,0.499,0.7208,0.4574,0.899,per-class
Two-Stage (dom_gap>0.3),0.8853,0.8256,0.6769,0.147,>0.3
