Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.5053,0.6582,0.5003,1.0,-
LightGBM (no threshold),0.5073,0.6584,0.5007,1.0,-
XGBoost (no threshold),0.5154,0.6621,0.5069,1.0,-
RandomForest (no threshold),0.5152,0.6621,0.5028,1.0,-
CatBoost raw + t=0.5,0.5375,0.6958,0.5313,0.76,0.5
CatBoost Platt + t=0.3,0.4144,0.615,0.4072,1.0,0.3
CatBoost Iso + t=0.5,0.5404,0.6614,0.4427,0.947,0.5
LightGBM Platt + t=0.3,0.4147,0.6208,0.4205,1.0,0.3
XGBoost raw + t=0.65,0.537,0.7041,0.5378,0.771,0.65
RandomForest + t=0.95,0.5449,0.7143,0.537,0.739,0.95
CatBoost Platt + class-threshold,0.2637,0.6256,0.2944,0.618,per-class
Two-Stage (dom_gap>0.3),0.4558,0.682,0.4624,0.259,>0.3
