epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9602,1.19501,2.08266,1.17322,0.80455,0.43893,0.55389,0.32046,1.32298,2.38342,1.25316,0.000656716,0.000656716,0.000656716
2,27.5991,1.27014,1.64092,1.21165,0.68097,0.68702,0.70656,0.37163,1.40068,1.95956,1.25452,0.00129718,0.00129718,0.00129718
3,38.0661,1.305,1.58579,1.24721,0.74014,0.77481,0.81792,0.51119,1.22001,1.69271,1.19694,0.00191124,0.00191124,0.00191124
4,47.3638,1.30621,1.49362,1.21541,0.68952,0.76336,0.70414,0.41584,1.2801,2.30314,1.28476,0.0018812,0.0018812,0.0018812
5,56.3388,1.3436,1.43597,1.26282,0.71773,0.74727,0.77312,0.45636,1.348,1.36485,1.24265,0.0018416,0.0018416,0.0018416
6,65.7909,1.30714,1.35893,1.24136,0.7379,0.76336,0.82045,0.49132,1.24417,1.24253,1.15042,0.001802,0.001802,0.001802
7,74.7562,1.25104,1.30209,1.20824,0.67995,0.73792,0.74541,0.46142,1.27198,1.35737,1.19035,0.0017624,0.0017624,0.0017624
8,83.9383,1.26297,1.25802,1.21586,0.75203,0.74809,0.79299,0.46748,1.2973,1.17187,1.1932,0.0017228,0.0017228,0.0017228
9,92.9676,1.22508,1.1943,1.19021,0.80571,0.7914,0.86355,0.55834,1.16258,1.001,1.12166,0.0016832,0.0016832,0.0016832
10,102.788,1.21823,1.15937,1.20034,0.83145,0.79771,0.88886,0.56012,1.18505,0.98701,1.12027,0.0016436,0.0016436,0.0016436
11,112.22,1.21352,1.11613,1.17611,0.73068,0.85949,0.8527,0.55885,1.10908,1.02884,1.06893,0.001604,0.001604,0.001604
12,121.071,1.21641,1.11066,1.19118,0.75977,0.86911,0.83191,0.55044,1.12506,0.95236,1.08815,0.0015644,0.0015644,0.0015644
13,130.023,1.2291,1.09102,1.1951,0.78567,0.83588,0.86975,0.57544,1.16859,0.91436,1.10852,0.0015248,0.0015248,0.0015248
14,139.712,1.17359,1.03673,1.16083,0.83244,0.83435,0.89501,0.57967,1.16722,0.86751,1.09081,0.0014852,0.0014852,0.0014852
15,149.969,1.1515,1.00145,1.14706,0.82593,0.83206,0.89798,0.59226,1.09943,0.82442,1.06317,0.0014456,0.0014456,0.0014456
16,158.671,1.17154,0.99602,1.16305,0.8211,0.80534,0.85253,0.56069,1.14542,0.9025,1.09929,0.001406,0.001406,0.001406
